date,rating,deviation,n_faceoffs,wins,player_id,player_name
2011-11,1355.6095535049521,66.73210977184532,61,17,8466398,Tom Kostopoulos
2011-12,1347.7792453572781,66.76485218937685,67,18,8466398,Tom Kostopoulos
2012-01,1372.6014555351846,74.29888167994864,73,21,8466398,Tom Kostopoulos
2012-02,1386.4621503148794,67.82380991755062,83,24,8466398,Tom Kostopoulos
2012-03,1384.2416661970374,55.84050819424277,104,30,8466398,Tom Kostopoulos
2012-04,1367.9397101668835,56.894433254916855,111,32,8466398,Tom Kostopoulos
2012-10,1329.2778044685117,57.05473481619317,120,33,8466398,Tom Kostopoulos
2012-11,1365.468624141267,49.68391235429446,148,42,8466398,Tom Kostopoulos
2012-12,1363.4595338132692,55.048183076164264,151,43,8466398,Tom Kostopoulos
2013-03,1424.3936283251992,78.30461338056173,155,46,8466398,Tom Kostopoulos
2013-04,1412.7026887635493,81.07924767578035,156,46,8466398,Tom Kostopoulos
Starting,1500.0,240.0,0,0,8470018,Matt Ellis
2011-01,1418.2120741843576,149.59285067197177,6,2,8470018,Matt Ellis
2011-03,1385.3364142136707,114.37550571664498,11,4,8470018,Matt Ellis
2011-04,1554.2310064274957,49.62878398388675,65,34,8470018,Matt Ellis
2011-11,1551.5034891874081,60.579475617953406,68,35,8470018,Matt Ellis
2012-01,1568.2604904870677,54.22427734157033,100,52,8470018,Matt Ellis
2012-02,1545.4008061247362,41.70518704029822,147,76,8470018,Matt Ellis
2012-03,1496.7004338500603,40.84867955096799,175,88,8470018,Matt Ellis
2012-04,1519.5360133167335,44.71871321814883,188,97,8470018,Matt Ellis
2012-10,1531.1344857494405,47.130671668520854,201,105,8470018,Matt Ellis
2012-11,1472.2082586415147,35.537376171740526,266,130,8470018,Matt Ellis
2012-12,1477.8664008151293,35.18369046751249,312,152,8470018,Matt Ellis
2013-01,1469.0740638275736,52.76493353872618,327,159,8470018,Matt Ellis
2013-02,1458.2312979861993,48.576836339897504,348,167,8470018,Matt Ellis
2014-01,1488.7498653530488,55.20417732214292,375,181,8470018,Matt Ellis
2014-02,1509.5206401034404,55.938026400522034,384,186,8470018,Matt Ellis
2014-03,1441.6103062760883,41.54511504082329,434,205,8470018,Matt Ellis
2014-04,1396.2345001672027,39.3460097906628,470,216,8470018,Matt Ellis
2014-12,1450.2088966173528,42.97964397266326,514,236,8470018,Matt Ellis
2015-01,1447.883616829093,41.83756647447589,567,261,8470018,Matt Ellis
2015-02,1512.223892601464,35.364942599512325,626,294,8470018,Matt Ellis
2015-03,1472.3139932274219,32.408545589866826,689,323,8470018,Matt Ellis
2015-04,1448.1763356439046,36.47087757876453,719,336,8470018,Matt Ellis
Starting,1500.0,240.0,0,0,8474038,Paul Byron
2011-01,1454.2602488090154,88.36787169347566,23,11,8474038,Paul Byron
2011-02,1384.7821881238833,48.15614817768744,71,29,8474038,Paul Byron
2012-01,1409.9577506038136,75.2655802882928,81,34,8474038,Paul Byron
2012-02,1381.3718733232554,76.33072738052245,83,34,8474038,Paul Byron
2012-11,1377.852004755721,82.70970791320238,90,36,8474038,Paul Byron
2012-12,1390.3235007359185,82.25467785502813,93,37,8474038,Paul Byron
2013-02,1419.1677924238047,95.1480390576617,96,38,8474038,Paul Byron
2013-04,1429.8932219102062,74.00783494657493,110,44,8474038,Paul Byron
2014-01,1457.233467625963,86.85162408283715,112,45,8474038,Paul Byron
2014-03,1342.1473276560178,75.58842022871308,121,46,8474038,Paul Byron
2014-12,1296.8244300120336,64.6231744458567,142,51,8474038,Paul Byron
2015-01,1281.2672990486979,79.49046177681305,145,51,8474038,Paul Byron
2015-02,1271.492855001656,82.06099146882863,147,51,8474038,Paul Byron
2015-10,1314.1941098827194,80.31062808668916,157,54,8474038,Paul Byron
2015-11,1365.176397760798,41.13897591460717,236,83,8474038,Paul Byron
2015-12,1378.400642156312,48.33997864715407,239,85,8474038,Paul Byron
2016-02,1411.1982444588634,73.04442008491948,241,87,8474038,Paul Byron
